Interval = 1 sec,,,,,,,,,,,
SEQ,TEMPERATURE(0.01 degreeC),HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC,eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
32,2632,6672,67,998754,8122,55,765,1,0,1,0
33,2633,6665,67,998756,7999,55,765,1,0,1,0
34,2634,6660,67,998756,8006,55,765,1,0,1,0
35,2635,6653,67,998760,8149,55,765,1,0,1,0
36,2638,6645,67,998761,8447,54,757,1,0,1,0
37,2638,6642,67,998762,8063,54,757,1,0,1,0
38,2636,6644,65,998759,7951,54,757,1,0,1,0
39,2633,6646,70,998756,8252,54,757,1,0,1,0
40,2633,6641,65,998756,8290,54,757,1,0,1,0
41,2630,6644,63,998757,8388,53,748,1,0,1,0
42,2629,6643,61,998757,8208,54,757,1,0,1,0
43,2627,6648,65,998758,8229,54,757,1,0,1,0
44,2624,6655,67,998759,8316,54,757,1,0,1,0
45,2624,6655,67,998755,8143,54,757,1,0,1,0
46,2623,6658,70,998756,8095,63,817,1,0,1,0
47,2624,6656,67,998759,8062,65,827,1,0,1,0
48,2622,6659,72,998760,8239,63,817,1,0,1,0
49,2622,6660,74,998757,8108,65,827,1,0,1,0
50,2621,6661,76,998756,8064,65,827,1,0,1,0
51,2620,6662,83,998751,8130,63,817,1,0,1,0
52,2619,6664,83,998751,7998,65,827,1,0,1,0
53,2617,6667,81,998748,8089,65,827,1,0,1,0
54,2616,6673,83,998746,8050,65,827,1,0,1,0
55,2617,6673,83,998750,8066,65,827,1,0,1,0
56,2619,6672,83,998751,8127,65,827,1,0,1,0
57,2619,6676,81,998753,8029,63,817,1,0,1,0
58,2619,6677,83,998752,8102,63,817,1,0,1,0
59,2617,6684,81,998753,8128,65,827,1,0,1,0
60,2615,6693,83,998750,7996,63,817,1,0,1,0
61,2612,6704,83,998748,8093,62,810,1,0,1,0
