Interval = 1 sec ,,,,,,,,,,,
SEQ, TEMPERATURE(0.01 degreeC), HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC, eCO2,FLAGnotburn,FLAGburn,FLAGnotburn,FLAGburn
71,3046,5534,70,997268,8160,143,1345,1,0,1,0
72,3047,5527,65,997268,8153,143,1345,1,0,1,0
73,3042,5528,58,997267,8075,148,1372,1,0,1,0
74,3039,5526,49,997266,8100,146,1360,1,0,1,0
75,3039,5511,58,997269,8152,146,1360,1,0,1,0
76,3035,5502,58,997267,8075,150,1389,1,0,1,0
77,3038,5476,58,997266,8021,150,1389,1,0,1,0
78,3038,5453,58,997263,8175,153,1408,1,0,1,0
79,3037,5438,56,997264,8137,156,1425,1,0,1,0
80,3037,5425,61,997261,8169,158,1441,1,0,1,0
81,3034,5422,63,997256,8991,158,1441,1,0,1,0
82,3032,5417,56,997254,8251,165,1487,1,0,1,0
83,3030,5410,58,997255,9195,165,1487,1,0,1,0
84,3028,5402,56,997259,8228,165,1487,1,0,1,0
85,3031,5392,61,997259,8394,165,1487,1,0,1,0
86,3030,5396,63,997258,8204,165,1487,1,0,1,0
87,3029,5399,61,997258,8073,165,1487,1,0,1,0
88,3031,5405,61,997258,8413,161,1462,1,0,1,0
89,3028,5419,54,997262,8259,161,1462,1,0,1,0
90,3030,5417,58,997264,8259,161,1462,1,0,1,0
91,3029,5422,52,997264,8062,161,1462,1,0,1,0
92,3029,5429,56,997266,8555,165,1487,1,0,1,0
93,3031,5431,61,997268,8287,161,1462,1,0,1,0
94,3028,5440,65,997268,8318,165,1487,1,0,1,0
95,3028,5442,67,997268,8408,163,1470,1,0,1,0
96,3026,5444,72,997265,8136,163,1470,1,0,1,0
97,3022,5443,76,997265,8217,163,1470,1,0,1,0
98,3021,5441,79,997266,8258,163,1470,1,0,1,0
99,3020,5450,83,997270,8304,177,1507,1,0,1,0
100,3020,5461,85,997271,8237,177,1507,1,0,1,0
101,3020,5475,85,997271,8101,177,1507,1,0,1,0
102,3018,5495,85,997273,8202,177,1507,1,0,1,0
103,3016,5507,83,997273,8144,170,1498,1,0,1,0
104,3018,5509,85,997274,8181,168,1494,1,0,1,0
105,3018,5513,85,997277,8028,171,1499,1,0,1,0
106,3019,5509,85,997274,8195,171,1499,1,0,1,0
107,3018,5509,85,997272,8148,171,1499,1,0,1,0
108,3016,5511,88,997273,8199,171,1499,1,0,1,0
109,3013,5509,83,997274,8266,171,1499,1,0,1,0
110,3011,5507,83,997275,8082,171,1499,1,0,1,0
111,3011,5502,83,997273,8233,171,1499,1,0,1,0
112,3012,5499,83,997270,8117,171,1499,1,0,1,0
