Interval = 1 sec ,,,,,,,,,,,
SEQ, TEMPERATURE(0.01 degreeC), HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC, eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
3,2776,6855,92,998406,8202,93,1014,1,0,1,0
4,2777,6864,94,998403,8153,109,1122,1,0,1,0
5,2780,6815,92,998399,8238,100,1060,1,0,1,0
6,2782,6736,88,998396,8167,105,1093,1,0,1,0
7,2782,6644,94,998394,8096,106,1102,1,0,1,0
8,2784,6551,99,998393,8143,112,1140,1,0,1,0
9,2786,6476,97,998392,8240,118,1178,1,0,1,0
10,2787,6412,94,998390,8134,125,1224,1,0,1,0
11,2788,6348,90,998387,8141,131,1262,1,0,1,0
12,2791,6280,90,998391,8228,138,1307,1,0,1,0
13,2791,6223,122,998390,8260,139,1316,1,0,1,0
14,2793,6168,142,998385,8360,145,1356,1,0,1,0
15,2798,6119,144,998386,8056,153,1408,1,0,1,0
16,2799,6089,144,998384,8197,155,1420,1,0,1,0
17,2800,6069,156,998385,8130,157,1436,1,0,1,0
18,2803,6057,156,998382,8484,161,1458,1,0,1,0
19,2803,6062,153,998383,8085,161,1458,1,0,1,0
20,2804,6079,153,998387,8148,156,1429,1,0,1,0
21,2807,6100,151,998386,8131,156,1429,1,0,1,0
22,2810,6125,153,998388,8125,152,1404,1,0,1,0
23,2812,6144,153,998391,9126,150,1389,1,0,1,0
24,2815,6158,151,998392,8026,148,1372,1,0,1,0
25,2817,6183,151,998395,8167,142,1334,1,0,1,0
26,2819,6233,153,998399,8047,136,1295,1,0,1,0
27,2819,6297,149,998403,8112,129,1252,1,0,1,0
28,2818,6371,131,998405,8166,126,1228,1,0,1,0
29,2821,6431,124,998402,8253,120,1188,1,0,1,0
30,2818,6475,124,998402,8121,115,1159,1,0,1,0
31,2819,6495,126,998398,8161,113,1144,1,0,1,0
32,2819,6493,124,998404,8232,113,1144,1,0,1,0
33,2819,6462,124,998402,8104,117,1168,1,0,1,0
34,2821,6406,124,998401,8314,121,1195,1,0,1,0
35,2821,6334,124,998398,8137,126,1228,1,0,1,0
36,2824,6246,124,998394,8122,130,1255,1,0,1,0
37,2825,6166,126,998389,8140,134,1281,1,0,1,0
38,2826,6091,126,998388,8213,142,1334,1,0,1,0
39,2828,6026,126,998386,8156,135,1288,1,0,1,0
40,2828,5973,124,998382,8053,152,1404,1,0,1,0
41,2827,5928,124,998380,9047,157,1432,1,0,1,0
42,2827,5887,126,998377,8134,163,1470,1,0,1,0
43,2827,5853,124,998377,8073,170,1497,1,0,1,0
44,2827,5828,126,998377,9601,170,1497,1,0,1,0
45,2826,5815,124,998382,8678,172,1500,1,0,1,0
46,2824,5816,117,998380,8425,174,1504,1,0,1,0
47,2823,5817,115,998377,8356,174,1504,1,0,1,0
48,2822,5822,113,998371,8634,197,1537,1,0,1,0
49,2820,5827,113,998375,9589,183,1517,1,0,1,0
50,2821,5833,131,998377,8303,179,1512,1,0,1,0
51,2816,5856,140,998377,8437,183,1517,1,0,1,0
52,2814,5873,140,998377,8443,180,1513,1,0,1,0
53,2812,5886,140,998378,8455,180,1513,1,0,1,0
54,2810,5893,144,998380,8182,184,1518,1,0,1,0
55,2810,5891,142,998378,8211,184,1519,1,0,1,0
56,2809,5890,144,998377,8325,184,1519,1,0,1,0
57,2809,5891,144,998375,8254,184,1519,1,0,1,0
58,2808,5889,144,998375,8284,189,1526,1,0,1,0
59,2807,5885,142,998377,8240,189,1526,1,0,1,0
60,2804,5887,144,998380,8187,189,1526,1,0,1,0
61,2803,5883,144,998379,8200,192,1530,1,0,1,0
62,2804,5873,144,998372,8238,192,1530,1,0,1,0
63,2805,5864,144,998369,8205,192,1530,1,0,1,0
64,2808,5851,142,998369,8275,191,1529,1,0,1,0
65,2808,5840,142,998371,8250,198,1538,1,0,1,0
66,2809,5828,144,998370,8265,194,1533,1,0,1,0
67,2811,5810,144,998362,8333,198,1538,1,0,1,0
68,2814,5790,144,998365,8178,201,1543,1,0,1,0
69,2813,5779,144,998362,8173,201,1543,1,0,1,0
70,2812,5770,142,998363,8223,201,1543,1,0,1,0
71,2811,5764,144,998364,8236,207,1551,1,0,1,0
72,2810,5762,142,998368,8273,207,1551,1,0,1,0
73,2812,5759,142,998368,8230,207,1551,1,0,1,0
74,2810,5763,144,998367,8179,207,1551,1,0,1,0
75,2811,5764,144,998366,8185,207,1551,1,0,1,0
76,2809,5772,146,998364,8236,207,1551,1,0,1,0
77,2810,5773,144,998362,8316,212,1559,1,0,1,0
78,2813,5764,146,998361,8208,212,1559,1,0,1,0
79,2812,5764,144,998361,8226,212,1559,1,0,1,0
80,2812,5764,144,998359,8241,212,1559,1,0,1,0
81,2813,5762,142,998360,8230,212,1559,1,0,1,0
82,2814,5766,142,998361,8346,212,1559,1,0,1,0
83,2815,5765,142,998361,8260,217,1563,1,0,1,0
84,2818,5759,140,998362,8255,217,1563,1,0,1,0
85,2819,5758,135,998365,8237,217,1563,1,0,1,0
86,2818,5759,137,998364,8315,217,1563,1,0,1,0
87,2818,5762,137,998364,8187,217,1563,1,0,1,0
88,2816,5769,137,998368,8235,217,1563,1,0,1,0
89,2817,5768,137,998370,8174,217,1563,1,0,1,0
90,2817,5764,137,998369,8163,217,1563,1,0,1,0
91,2818,5752,137,998366,8169,217,1563,1,0,1,0
92,2819,5738,135,998364,8182,217,1563,1,0,1,0
93,2820,5727,135,998362,8108,217,1563,1,0,1,0
94,2821,5717,135,998358,8113,217,1563,1,0,1,0
95,2820,5713,137,998356,8094,220,1567,1,0,1,0
96,2824,5698,137,998354,8024,220,1567,1,0,1,0
97,2825,5689,137,998356,8137,220,1567,1,0,1,0
98,2825,5681,140,998362,8123,220,1567,1,0,1,0
99,2827,5670,140,998356,8152,198,1538,1,0,1,0
100,2827,5668,140,998353,8222,216,1562,1,0,1,0
101,2829,5670,137,998355,8124,212,1559,1,0,1,0
102,2830,5684,137,998352,8233,218,1564,1,0,1,0
103,2829,5700,137,998353,8489,212,1559,1,0,1,0
104,2828,5720,128,998356,8851,210,1556,1,0,1,0
105,2829,5736,113,998357,8925,210,1556,1,0,1,0
106,2830,5745,115,998357,8951,207,1550,1,0,1,0
107,2832,5753,115,998351,8955,204,1546,1,0,1,0
108,2832,5765,117,998353,8934,204,1546,1,0,1,0
109,2832,5768,115,998353,8919,204,1546,1,0,1,0
110,2833,5763,115,998352,8903,204,1546,1,0,1,0
111,2833,5756,113,998349,8713,198,1538,1,0,1,0
112,2835,5741,110,998353,8474,198,1538,1,0,1,0
