Interval = 1 sec ,,,,,,,,,,,
SEQ, TEMPERATURE(0.01 degreeC), HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC, eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
70,2788,6390,61,997162,8150,29,591,1,0,1,0
71,2788,6386,61,997162,8116,29,591,1,0,1,0
72,2788,6387,58,997161,8098,29,591,1,0,1,0
73,2785,6395,58,997165,8271,29,591,1,0,1,0
74,2783,6404,58,997164,8215,28,584,1,0,1,0
75,2782,6411,58,997165,8201,29,591,1,0,1,0
76,2781,6411,58,997167,8300,28,584,1,0,1,0
77,2783,6408,58,997170,8107,29,591,1,0,1,0
78,2782,6409,49,997165,8164,29,591,1,0,1,0
79,2781,6412,52,997158,8132,28,584,1,0,1,0
80,2779,6417,67,997157,8216,29,591,1,0,1,0
81,2776,6422,70,997160,8450,28,584,1,0,1,0
82,2775,6429,70,997167,8352,28,584,1,0,1,0
83,2775,6433,70,997166,8289,28,584,1,0,1,0
84,2772,6443,70,997167,8072,28,584,1,0,1,0
85,2771,6448,70,997168,8174,27,580,1,0,1,0
86,2770,6452,79,997167,8122,34,626,1,0,1,0
87,2769,6453,81,997164,8105,34,626,1,0,1,0
88,2770,6450,81,997168,8108,34,626,1,0,1,0
89,2767,6456,81,997168,8126,34,626,1,0,1,0
90,2765,6459,81,997167,8241,34,626,1,0,1,0
91,2762,6471,81,997165,8172,34,626,1,0,1,0
92,2759,6483,81,997160,8197,34,626,1,0,1,0
93,2759,6489,81,997160,8207,34,626,1,0,1,0
94,2760,6493,81,997160,8093,33,618,1,0,1,0
95,2759,6500,81,997156,8175,33,618,1,0,1,0
96,2759,6505,81,997159,8230,33,618,1,0,1,0
97,2759,6506,81,997160,8080,32,611,1,0,1,0
98,2756,6516,79,997157,8197,32,611,1,0,1,0
99,2756,6519,79,997157,8146,32,611,1,0,1,0
100,2755,6521,76,997159,8284,32,611,1,0,1,0
101,2754,6523,76,997160,8946,32,611,1,0,1,0
102,2753,6526,76,997158,8252,32,611,1,0,1,0
103,2753,6525,79,997160,8275,32,611,1,0,1,0
104,2753,6526,83,997162,8226,32,611,1,0,1,0
105,2752,6531,83,997163,8287,32,611,1,0,1,0
106,2751,6530,79,997159,8100,32,611,1,0,1,0
107,2751,6529,76,997158,8281,30,603,1,0,1,0
108,2751,6528,76,997157,8136,30,603,1,0,1,0
109,2753,6523,76,997161,8188,32,611,1,0,1,0
110,2755,6520,76,997162,8146,32,611,1,0,1,0
111,2755,6519,76,997162,8190,32,611,1,0,1,0
112,2754,6523,79,997160,8150,30,602,1,0,1,0
113,2752,6532,76,997159,8321,32,611,1,0,1,0
114,2752,6538,76,997158,8277,32,611,1,0,1,0
115,2750,6547,79,997161,8204,30,597,1,0,1,0
116,2749,6552,76,997172,8079,30,597,1,0,1,0
117,2750,6555,76,997176,8137,30,597,1,0,1,0
118,2750,6558,76,997181,8101,30,597,1,0,1,0
119,2751,6558,76,997182,8004,30,597,1,0,1,0
120,2751,6559,76,997181,8118,29,592,1,0,1,0
121,2751,6558,76,997180,8287,30,597,1,0,1,0
122,2752,6558,76,997182,8182,30,597,1,0,1,0
123,2752,6554,74,997182,8155,30,597,1,0,1,0
124,2752,6551,72,997177,8013,30,597,1,0,1,0
125,2755,6545,70,997177,8091,30,597,1,0,1,0
126,2753,6546,67,997182,8179,29,592,1,0,1,0
127,2753,6549,70,997182,8172,30,597,1,0,1,0
128,2755,6548,74,997186,8322,29,592,1,0,1,0
129,2752,6563,79,997189,8277,30,597,1,0,1,0
130,2754,6564,76,997186,8262,29,592,1,0,1,0
131,2756,6562,76,997182,8231,29,592,1,0,1,0
132,2756,6564,79,997182,8348,30,597,1,0,1,0
133,2760,6555,79,997186,8145,29,592,1,0,1,0
134,2758,6559,79,997186,8235,29,592,1,0,1,0
135,2757,6564,81,997188,8317,29,592,1,0,1,0
136,2758,6564,83,997187,8216,29,592,1,0,1,0
137,2759,6563,83,997185,8363,29,592,1,0,1,0
138,2763,6554,83,997184,8311,28,586,1,0,1,0
139,2764,6548,83,997187,8398,28,586,1,0,1,0
140,2766,6543,83,997190,8436,26,577,1,0,1,0
141,2769,6534,83,997184,8213,26,577,1,0,1,0
142,2771,6529,83,997179,8082,26,577,1,0,1,0
143,2773,6530,83,997179,8168,25,570,1,0,1,0
144,2772,6536,83,997180,8553,27,581,1,0,1,0
145,2770,6544,83,997182,8939,25,570,1,0,1,0
146,2769,6547,83,997182,9201,25,565,1,0,1,0
147,2769,6547,83,997182,8768,25,570,1,0,1,0
148,2770,6542,83,997181,8269,25,565,1,0,1,0
149,2771,6540,83,997184,8463,25,570,1,0,1,0
150,2769,6540,83,997188,8323,25,570,1,0,1,0
151,2770,6534,83,997187,8377,25,570,1,0,1,0
152,2773,6523,83,997184,8269,25,570,1,0,1,0
153,2774,6515,83,997182,8258,25,570,1,0,1,0
154,2775,6509,83,997184,8120,25,569,1,0,1,0
155,2775,6506,83,997183,8222,26,575,1,0,1,0
156,2773,6510,83,997185,8015,20,534,1,0,1,0
157,2772,6510,83,997188,8287,20,534,1,0,1,0
158,2772,6510,83,997188,8240,25,569,1,0,1,0
159,2771,6514,83,997190,8215,25,569,1,0,1,0
160,2772,6513,83,997194,8205,25,569,1,0,1,0
161,2774,6511,83,997191,8104,26,575,1,0,1,0
162,2773,6514,83,997192,8236,26,575,1,0,1,0
163,2774,6512,83,997192,8381,26,575,1,0,1,0
164,2773,6512,83,997196,8353,26,575,1,0,1,0
165,2772,6514,83,997195,8647,27,581,1,0,1,0
166,2773,6510,81,997191,9365,26,575,1,0,1,0
167,2776,6504,81,997194,9302,26,575,1,0,1,0
168,2779,6497,81,997193,8528,26,575,1,0,1,0
169,2779,6497,81,997192,8546,19,529,1,0,1,0
170,2778,6502,81,997190,8502,19,529,1,0,1,0
171,2778,6509,81,997190,8460,20,534,1,0,1,0
172,2779,6511,81,997192,8331,19,529,1,0,1,0
173,2782,6506,79,997187,8612,19,529,1,0,1,0
174,2785,6498,79,997185,8639,19,529,1,0,1,0
175,2787,6487,70,997185,9486,19,529,1,0,1,0
176,2788,6480,72,997184,9231,19,529,1,0,1,0
177,2789,6473,74,997185,8796,19,529,1,0,1,0
178,2791,6462,72,997186,8831,19,529,1,0,1,0
179,2793,6452,70,997186,8648,20,534,1,0,1,0
180,2797,6437,74,997191,8681,20,534,1,0,1,0
181,2798,6431,67,997191,8436,21,540,1,0,1,0
182,2799,6419,74,997189,8381,20,534,1,0,1,0
183,2799,6412,76,997190,8826,21,540,1,0,1,0
184,2798,6412,74,997190,8786,21,543,1,0,1,0
185,2800,6404,74,997189,8418,21,543,1,0,1,0
186,2801,6401,74,997187,8628,21,543,1,0,1,0
187,2800,6401,74,997191,8346,21,543,1,0,1,0
188,2801,6397,74,997189,8201,21,543,1,0,1,0
189,2802,6392,74,997188,8464,22,549,1,0,1,0
190,2802,6393,74,997193,8177,21,543,1,0,1,0
191,2802,6391,74,997193,8221,22,549,1,0,1,0
192,2803,6391,74,997193,8119,21,543,1,0,1,0
193,2802,6396,74,997192,8230,22,549,1,0,1,0
194,2803,6399,74,997193,8197,21,543,1,0,1,0
195,2806,6399,74,997194,8285,21,543,1,0,1,0
196,2804,6413,74,997191,8184,20,537,1,0,1,0
197,2803,6423,74,997190,8192,20,537,1,0,1,0
198,2800,6442,74,997196,8305,20,537,1,0,1,0
199,2799,6450,74,997197,8467,19,529,1,0,1,0
200,2802,6448,74,997199,8073,19,526,1,0,1,0
201,2802,6453,74,997197,8444,19,526,1,0,1,0
202,2805,6446,74,997197,8230,20,534,1,0,1,0
203,2803,6450,74,997194,8243,20,534,1,0,1,0
204,2803,6450,74,997196,8217,20,534,1,0,1,0
205,2803,6447,74,997195,8066,20,534,1,0,1,0
206,2804,6446,74,997191,8103,22,546,1,0,1,0
207,2807,6444,74,997189,8145,27,580,1,0,1,0
208,2806,6453,74,997191,8142,32,611,1,0,1,0
209,2807,6457,74,997188,8166,36,638,1,0,1,0
210,2807,6465,74,997192,8142,43,688,1,0,1,0
211,2805,6475,74,997195,8283,57,776,1,0,1,0
212,2806,6477,74,997195,8243,64,825,1,0,1,0
213,2804,6484,72,997198,8267,67,840,1,0,1,0
214,2807,6476,72,997196,8125,64,825,1,0,1,0
215,2808,6467,72,997199,8044,60,798,1,0,1,0
216,2809,6465,70,997194,8126,58,785,1,0,1,0
217,2810,6458,70,997193,8104,56,768,1,0,1,0
218,2807,6462,67,997196,8197,57,776,1,0,1,0
219,2807,6460,67,997199,8184,58,785,1,0,1,0
220,2806,6461,67,997201,8437,58,785,1,0,1,0
221,2807,6460,67,997201,8249,58,785,1,0,1,0
222,2807,6461,70,997204,8287,57,776,1,0,1,0
223,2804,6467,70,997201,8349,53,752,1,0,1,0
